dataset,distribution,dataset_size,precision,rep,algorithm,stream_length,true_cardinality,final_estimate,relative_error,memory_bytes,throughput_ops,elapsed_seconds,avg_checkpoint_error,max_checkpoint_error
uniform_5m_5000000.txt,uniform_5m,5000000,14,0,hll,5000000,5000000,4.99654e+06,0.000691545,16384,1.6647e+08,0.0300354,0.00446298,0.0145845
uniform_5m_5000000.txt,uniform_5m,5000000,14,0,hll++,5000000,5000000,4.99654e+06,0.000691545,16384,1.13933e+08,0.0438854,0.00464239,0.0145845
uniform_5m_5000000.txt,uniform_5m,5000000,14,1,ll,5000000,5000000,5.004e+06,0.000799471,16384,2.26983e+08,0.0220281,0.00311086,0.0095298
uniform_5m_5000000.txt,uniform_5m,5000000,14,1,hll,5000000,5000000,4.99654e+06,0.000691545,16384,1.74696e+08,0.0286212,0.00446298,0.0145845
uniform_5m_5000000.txt,uniform_5m,5000000,14,1,hll++,5000000,5000000,4.99654e+06,0.000691545,16384,1.24433e+08,0.0401821,0.00464239,0.0145845
uniform_5m_5000000.txt,uniform_5m,5000000,14,2,ll,5000000,5000000,5.004e+06,0.000799471,16384,2.20148e+08,0.0227119,0.00311086,0.0095298
uniform_5m_5000000.txt,uniform_5m,5000000,14,2,hll,5000000,5000000,4.99654e+06,0.000691545,16384,1.7559e+08,0.0284754,0.00446298,0.0145845
uniform_5m_5000000.txt,uniform_5m,5000000,14,2,hll++,5000000,5000000,4.99654e+06,0.000691545,16384,1.1651e+08,0.042915,0.00464239,0.0145845
uniform_small_500k_500000.txt,uniform_small_500k,500000,14,0,ll,500000,500000,505730,0.0114608,16384,1.48891e+08,0.00335816,0.0128324,0.0353814
uniform_small_500k_500000.txt,uniform_small_500k,500000,14,0,hll,500000,500000,503754,0.00750826,16384,8.29889e+07,0.0060249,0.00840383,0.0205657
uniform_small_500k_500000.txt,uniform_small_500k,500000,14,0,hll++,500000,500000,503754,0.00750826,16384,6.43975e+07,0.00776428,0.00854968,0.0205657
uniform_small_500k_500000.txt,uniform_small_500k,500000,14,1,ll,500000,500000,505730,0.0114608,16384,1.33744e+08,0.00373848,0.0128324,0.0353814
uniform_small_500k_500000.txt,uniform_small_500k,500000,14,1,hll,500000,500000,503754,0.00750826,16384,7.93283e+07,0.00630292,0.00840383,0.0205657
uniform_small_500k_500000.txt,uniform_small_500k,500000,14,1,hll++,500000,500000,503754,0.00750826,16384,5.97407e+07,0.0083695,0.00854968,0.0205657
uniform_small_500k_500000.txt,uniform_small_500k,500000,14,2,ll,500000,500000,505730,0.0114608,16384,1.51209e+08,0.00330668,0.0128324,0.0353814
uniform_small_500k_500000.txt,uniform_small_500k,500000,14,2,hll,500000,500000,503754,0.00750826,16384,9.35815e+07,0.00534294,0.00840383,0.0205657
uniform_small_500k_500000.txt,uniform_small_500k,500000,14,2,hll++,500000,500000,503754,0.00750826,16384,7.45978e+07,0.00670261,0.00854968,0.0205657
zipf_heavy_2m_2000000.txt,zipf_heavy_2m,2000000,14,0,ll,2000000,1075590,1.08367e+06,0.0075137,16384,1.80255e+08,0.0110954,0.00730341,0.0129114
zipf_heavy_2m_2000000.txt,zipf_heavy_2m,2000000,14,0,hll,2000000,1075590,1.07651e+06,0.000853691,16384,1.15252e+08,0.0173533,0.00564797,0.0127867
