dataset,distribution,dataset_size,precision,rep,algorithm,checkpoint,stream_index,true_cardinality,estimated_cardinality,relative_error
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,1,hll++,183,206,183,183,0
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,1,hll++,244,277,244,244,0
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,1,hll++,305,366,305,305,0
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,1,hll++,366,463,366,366,0
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,1,hll++,427,568,427,427,0
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,1,hll++,488,687,488,488,0
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,1,hll++,549,815,549,549,0
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,1,hll++,610,986,610,610,0
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,1,hll++,616,1000,616,616,0
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,2,ll,61,63,61,61.1138,0.00186621
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,2,ll,122,132,122,122.456,0.00374173
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,2,ll,183,206,183,184.03,0.00562665
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,2,ll,244,277,244,243.805,0.000799067
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,2,ll,305,366,305,304.818,0.000596696
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,2,ll,366,463,366,366.059,0.000161328
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,2,ll,427,568,427,428.556,0.00364479
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,2,ll,488,687,488,490.263,0.00463628
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,2,ll,549,815,549,549.099,0.000181099
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,2,ll,610,986,610,610.224,0.000367473
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,2,ll,616,1000,616,616.453,0.000735433
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,2,hll,61,63,61,61.1138,0.00186621
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,2,hll,122,132,122,122.456,0.00374173
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,2,hll,183,206,183,184.03,0.00562665
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,2,hll,244,277,244,243.805,0.000799067
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,2,hll,305,366,305,304.818,0.000596696
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,2,hll,366,463,366,366.059,0.000161328
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,2,hll,427,568,427,428.556,0.00364479
