bits,seed,sample_index,rounds,strategy,n,probable_prime,ground_truth,correct,time_core,witness_count,base_collision_fraction,impl_sympy_time,impl_det64_time,impl_det64_result,is_carmichael,pseudoprime_flag
40,2,0,10,random,955359664567,False,False,True,4.57002897746861e-07,0,,2.6999987312592566e-07,2.0299921743571758e-07,False,False,False
40,2,0,10,fixed_small,955359664567,False,False,True,5.130023055244237e-07,0,0.0,2.6500129024498165e-07,2.6600173441693187e-07,False,False,False
40,2,1,5,random,907615069925,False,False,True,4.6100103645585477e-07,0,,2.4600012693554163e-07,2.0199877326376736e-07,False,False,False
40,2,1,5,fixed_small,907615069925,False,False,True,4.889989213552326e-07,0,0.0,2.580018190201372e-07,2.710003172978759e-07,False,False,False
40,2,1,10,random,907615069925,False,False,True,4.0499799069948494e-07,0,,2.589986252132803e-07,2.2400126908905804e-07,False,False,False
40,2,1,10,fixed_small,907615069925,False,False,True,4.5599881559610367e-07,0,0.0,2.489978214725852e-07,2.2500171326100826e-07,False,False,False
40,2,2,5,random,641289763227,False,False,True,4.1000021155923605e-07,0,,2.1999949240125716e-07,1.990010787267238e-07,False,False,False
40,2,2,5,fixed_small,641289763227,False,False,True,4.849971446674317e-07,0,0.0,2.2899985197000206e-07,2.0500010577961802e-07,False,False,False
40,2,2,10,random,641289763227,False,False,True,3.9099904824979603e-07,0,,2.3000029614195228e-07,1.320004230365157e-07,False,False,False
40,2,2,10,fixed_small,641289763227,False,False,True,4.310022632125765e-07,0,0.0,1.9800063455477357e-07,1.9100116332992911e-07,False,False,False
40,2,3,5,random,574456100273,False,False,True,5.080000846646726e-07,0,,3.360000846441835e-07,3.0499722925014794e-07,False,False,False
40,2,3,5,fixed_small,574456100273,False,False,True,6.459995347540826e-07,0,0.0,3.749992174562067e-07,3.029999788850546e-07,False,False,False
40,2,3,10,random,574456100273,False,False,True,4.6100103645585477e-07,0,,2.730012056417763e-07,2.5600093067623675e-07,False,False,False
40,2,3,10,fixed_small,574456100273,False,False,True,6.939990271348506e-07,0,0.0,2.5599729269742966e-07,2.9599686968140304e-07,False,False,False
40,2,4,5,random,660917230985,False,False,True,4.1000021155923605e-07,0,,2.640008460730314e-07,1.759981387294829e-07,False,False,False
40,2,4,5,fixed_small,660917230985,False,False,True,5.559995770454407e-07,0,0.0,2.730012056417763e-07,2.749984560068697e-07,False,False,False
40,2,4,10,random,660917230985,False,False,True,4.4099942897446454e-07,0,,2.580018190201372e-07,2.2400126908905804e-07,False,False,False
40,2,4,10,fixed_small,660917230985,False,False,True,4.300018190406263e-07,0,0.0,2.309971023350954e-07,2.569977368693799e-07,False,False,False
