n,k,is_probable_prime,time_ns,modexp_count,is_carmichael,bits,rounds,time_ms,ground_truth,probable_prime,correct,false_positive
314821,20,0,6238,2,True,19,20,0.006238,False,False,True,False
334153,20,0,6363,3,True,19,20,0.006363,False,False,True,False
340561,20,0,6402,4,True,19,20,0.006402,False,False,True,False
399001,20,0,6373,3,True,19,20,0.006373,False,False,True,False
410041,20,0,7845,6,True,19,20,0.007845,False,False,True,False
449065,20,0,6479,3,True,19,20,0.006479,False,False,True,False
488881,20,0,6480,4,True,19,20,0.00648,False,False,True,False
512461,20,0,6340,2,True,19,20,0.00634,False,False,True,False
56517,5,0,18354,2,False,16,5,0.018354,False,False,True,False
59799,5,0,10197,1,False,16,5,0.010197,False,False,True,False
41121,5,0,8771,5,False,16,5,0.008771,False,False,True,False
62555,5,0,6809,1,False,16,5,0.006809,False,False,True,False
56757,5,0,7069,2,False,16,5,0.007069,False,False,True,False
33643,5,0,6366,1,False,16,5,0.006366,False,False,True,False
45021,5,0,6465,2,False,16,5,0.006465,False,False,True,False
58365,5,0,6535,2,False,16,5,0.006535,False,False,True,False
51661,5,0,6311,2,False,16,5,0.006311,False,False,True,False
48567,5,0,6266,1,False,16,5,0.006266,False,False,True,False
36751,5,0,6255,1,False,16,5,0.006255,False,False,True,False
47477,5,0,6446,2,False,16,5,0.006446,False,False,True,False
56471,5,0,6244,1,False,16,5,0.006244,False,False,True,False
64911,5,0,6217,1,False,16,5,0.006217,False,False,True,False
37059,5,0,5941,1,False,16,5,0.005941,False,False,True,False
62845,5,0,6595,2,False,16,5,0.006595,False,False,True,False
63303,5,0,6289,1,False,16,5,0.006289,False,False,True,False
51117,5,0,6381,2,False,16,5,0.006381,False,False,True,False
45623,5,0,6117,1,False,16,5,0.006117,False,False,True,False
38741,5,0,6261,2,False,16,5,0.006261,False,False,True,False
2522342955,5,0,11620,1,False,32,5,0.01162,False,False,True,False
2493900019,5,0,9403,1,False,32,5,0.009403,False,False,True,False
4012293711,5,0,10518,1,False,32,5,0.010518,False,False,True,False
4102147835,5,0,9857,1,False,32,5,0.009857,False,False,True,False
2982885235,5,0,9437,1,False,32,5,0.009437,False,False,True,False
3970878825,5,0,10626,3,False,32,5,0.010626,False,False,True,False
4047525305,5,0,9879,3,False,32,5,0.009879,False,False,True,False
3612247555,5,0,9267,1,False,32,5,0.009267,False,False,True,False
