category,filename,n,median_time,mean_time,std_time,median_comparisons,median_swaps,correctness_rate
uniform,uniform-input-1290000-1-float.txt,956090.0,281.0,281.0,,23325391.0,11094389.0,1.0
uniform,uniform-input-1290000-2-float.txt,1075830.0,436.0,436.0,,27861201.0,13827518.0,1.0
uniform,uniform-input-1290000-3-float.txt,1159298.0,351.0,351.0,,32383932.0,14030555.0,1.0
uniform,uniform-input-13000-1-float.txt,13000.0,2.0,2.0,,210216.0,103869.0,1.0
uniform,uniform-input-13000-2-float.txt,13000.0,3.0,3.0,,196344.0,101511.0,1.0
uniform,uniform-input-13000-3-float.txt,13000.0,2.0,2.0,,201224.0,96367.0,1.0
uniform,uniform-input-130000-1-float.txt,130000.0,24.0,24.0,,2666987.0,1336939.0,1.0
uniform,uniform-input-130000-2-float.txt,130000.0,30.0,30.0,,2618130.0,1233469.0,1.0
uniform,uniform-input-130000-3-float.txt,130000.0,38.0,38.0,,2833368.0,1342604.0,1.0
uniform,uniform-input-1300000-1-float.txt,956053.0,269.0,269.0,,22506280.0,10935233.0,1.0
uniform,uniform-input-1300000-2-float.txt,1075868.0,376.0,376.0,,27247100.0,13437167.0,1.0
uniform,uniform-input-1300000-3-float.txt,1159335.0,348.0,348.0,,31731489.0,13280453.0,1.0
uniform,uniform-input-1310000-1-float.txt,956030.0,293.0,293.0,,23130500.0,11466201.0,1.0
uniform,uniform-input-1310000-2-float.txt,1075882.0,358.0,358.0,,26744362.0,13615005.0,1.0
uniform,uniform-input-1310000-3-float.txt,1159280.0,381.0,381.0,,31733224.0,12919336.0,1.0
uniform,uniform-input-1320000-1-float.txt,956059.0,314.0,314.0,,23562572.0,12496433.0,1.0
uniform,uniform-input-1320000-2-float.txt,1075906.0,352.0,352.0,,26546877.0,13835642.0,1.0
uniform,uniform-input-1320000-3-float.txt,1159252.0,434.0,434.0,,31977972.0,12402475.0,1.0
uniform,uniform-input-1330000-1-float.txt,956009.0,315.0,315.0,,23165935.0,11973092.0,1.0
uniform,uniform-input-1330000-2-float.txt,1075817.0,305.0,305.0,,26784107.0,12931857.0,1.0
uniform,uniform-input-1330000-3-float.txt,1159308.0,366.0,366.0,,33597634.0,14879102.0,1.0
uniform,uniform-input-1340000-1-float.txt,956115.0,279.0,279.0,,23614429.0,11581454.0,1.0
uniform,uniform-input-1340000-2-float.txt,1075823.0,386.0,386.0,,26867209.0,13052311.0,1.0
uniform,uniform-input-1340000-3-float.txt,1159276.0,475.0,475.0,,32886714.0,13615846.0,1.0
uniform,uniform-input-135000-1-float.txt,135000.0,29.0,29.0,,2770436.0,1416719.0,1.0
uniform,uniform-input-135000-2-float.txt,135000.0,29.0,29.0,,2870196.0,1405408.0,1.0
uniform,uniform-input-135000-3-float.txt,135000.0,30.0,30.0,,2771397.0,1495145.0,1.0
uniform,uniform-input-1350000-1-float.txt,955991.0,314.0,314.0,,23216996.0,10620860.0,1.0
uniform,uniform-input-1350000-2-float.txt,1075861.0,336.0,336.0,,26498445.0,12993215.0,1.0
uniform,uniform-input-1350000-3-float.txt,1159290.0,390.0,390.0,,31304156.0,13310704.0,1.0
uniform,uniform-input-1360000-1-float.txt,956052.0,272.0,272.0,,23619346.0,11433916.0,1.0
uniform,uniform-input-1360000-2-float.txt,1075858.0,397.0,397.0,,26656602.0,13309631.0,1.0
uniform,uniform-input-1360000-3-float.txt,1159324.0,376.0,376.0,,31375374.0,12968107.0,1.0
uniform,uniform-input-1370000-1-float.txt,956055.0,308.0,308.0,,23385510.0,11881259.0,1.0
uniform,uniform-input-1370000-2-float.txt,1075836.0,319.0,319.0,,26421117.0,13125884.0,1.0
uniform,uniform-input-1370000-3-float.txt,1159287.0,496.0,496.0,,31713956.0,12824197.0,1.0
uniform,uniform-input-1380000-1-float.txt,956018.0,296.0,296.0,,24127085.0,12384315.0,1.0
uniform,uniform-input-1380000-2-float.txt,1075867.0,353.0,353.0,,27009317.0,12690701.0,1.0
uniform,uniform-input-1380000-3-float.txt,1159286.0,503.0,503.0,,31840428.0,13656399.0,1.0
uniform,uniform-input-1390000-1-float.txt,956027.0,654.0,654.0,,23654466.0,12305322.0,1.0
uniform,uniform-input-1390000-2-float.txt,1075857.0,318.0,318.0,,26582124.0,12801232.0,1.0
uniform,uniform-input-1390000-3-float.txt,1159368.0,472.0,472.0,,31550583.0,13543033.0,1.0
uniform,uniform-input-14000-1-float.txt,14000.0,2.0,2.0,,223469.0,108092.0,1.0
